0,Unnamed: 0
d459335-Reviews-Sacco_Pizza,1134
d12265709-Reviews-The_Wild_Son,1137
d491116-Reviews-Bella_Blu,1140
d8773498-Reviews-Tacombi,1143
d424497-Reviews-Pergola_Des_Artistes,1146
d8745344-Reviews-L_amico,1149
d3397834-Reviews-The_Junction,1152
d1913266-Reviews-Inatteso_Pizzabar,1155
d14130542-Reviews-Boqueria,1158
d493676-Reviews-Ben_s_Kosher_Delicatessen_Restaurant_Caterers,1161
d1183869-Reviews-Apotheke,1164
d2191255-Reviews-Mike_s_Bistro,1167
d6439700-Reviews-Deep_Indian_Kitchen,1170
d13190565-Reviews-Shuka,1173
d1106322-Reviews-The_Campbell,1176
d13992658-Reviews-Samwon_Garden_Korean_BBQ,1179
d2645708-Reviews-Storico,1182
d502548-Reviews-Uno_Pizzeria_Grill,1185
d425677-Reviews-Jubilee,1188
d13206470-Reviews-Tonchin,1191
d1059715-Reviews-Thai_Market,1194
d12117652-Reviews-Friedman_s,1197
d4250201-Reviews-Sal_s_Little_Italy,1230
d424597-Reviews-Utsav_Restaurant,1233
d877054-Reviews-LA_SIRENE,1236
d1498330-Reviews-Salon_de_Ning_ROOFTOP,1239
d1051013-Reviews-Cosmic_Diner,1242
d2005360-Reviews-Wine_30,1245
d477341-Reviews-Tavern_on_Jane,1248
d2199293-Reviews-Il_caffe_latte,1251
d2327677-Reviews-GMT_Tavern,1254
d3654047-Reviews-Petit_Poulet,1257
d423776-Reviews-Nice_Matin,1260
d4680324-Reviews-Khe_Yo,1263
d7268132-Reviews-Emmett_s,1266
d424429-Reviews-Becco,1269
d3942959-Reviews-Barn_Joo,1272
d7751468-Reviews-La_Pizza,1275
d12193128-Reviews-KazuNori,1278
d816811-Reviews-Don_Filippo_Restaurant,1281
d3588744-Reviews-Scallywags_Irish_Pub_and_Restaurant,1284
d425512-Reviews-Woorijip,1287
d502699-Reviews-Old_Town_Bar,1290
d478623-Reviews-La_Mela_Ristorante,1293
